公司代號,公司名稱,董事會決議日期,買回目的,買回股份總金額上限(依最新財報計算之法定上限),預定買回股數,買回價格區間最低,買回價格區間最高,預定買回期間起,預定買回期間迄,是否執行完畢,本次已買回股數(空白為尚在執行中),本次執行完畢已註銷或轉讓股數,本次已買回股數佔預定買回股數比例(%)(空白為尚在執行中),本次已買回總金額(空白為尚在執行中),本次平均每股買回價格(空白為尚在執行中),本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中),本次未執行完畢之原因
2023,燁輝,89/08/29,3,2242626855.0,10000000.0,6.0,15.00,2000-08-31,2000-09-30,Y,3033000.0,3033000.0,30.33,24500355.0,8.08,0.41,執行期間因部份營業日成交價格高於漲幅限制之一半
2027,大成鋼,89/08/30,1,890391000.0,4200000.0,7.0,13.50,2000-09-04,2000-10-03,Y,3257000.0,3257000.0,77.55,29628908.0,9.10,1.31,考量市場參與度及價格穩定因素
9919,康那香,89/08/31,3,467452000.0,5000000.0,10.0,18.00,2000-09-01,2000-09-15,Y,5000000.0,5000000.0,100.0,57223639.0,11.44,3.09,
1441,大東,89/09/01,3,195534396.0,4000000.0,3.0,8.00,2000-09-02,2000-09-30,Y,4000000.0,4000000.0,100.0,19153255.0,4.79,2.32,
2908,特力,89/09/01,2,1025932452.0,8000000.0,10.0,17.00,2000-09-04,2000-10-03,Y,0.0,,0.0,0.0,0.00,0.0,"買回目的之變更,因此尚未執行"
2535,達欣工,89/09/02,3,1008494000.0,4000000.0,4.2,8.80,2000-09-04,2000-10-03,Y,4000000.0,4000000.0,100.0,23779768.0,5.94,1.39,
3052,夆典,89/09/06,3,483864377.0,4200000.0,8.0,12.00,2000-09-02,2000-10-01,Y,4200000.0,4200000.0,100.0,42275618.0,10.07,2.11,
1712,興農,89/09/08,3,613661687.0,4600000.0,3.49,7.06,2000-09-11,2000-10-09,Y,2130000.0,2130000.0,46.3,9454330.0,4.44,0.62,因受限於價格及成交量低之故無法全數買回
2024,志聯,89/09/13,3,112537000.0,6000000.0,2.5,6.00,2000-09-15,2000-10-14,Y,1527000.0,1527000.0,25.45,3836155.0,2.51,0.99,
2908,特力,89/09/14,1,1025932452.0,8000000.0,11.0,17.00,2000-09-15,2000-10-14,Y,6533000.0,6533000.0,81.66,108208954.0,16.56,2.8,市場價格高於申報之買回區間價格
2373,震旦行,89/09/15,1,3382060000.0,15000000.0,25.0,50.00,2000-09-16,2000-10-15,Y,15000000.0,15000000.0,100.0,456570333.0,30.44,2.39,
1449,佳和,89/09/18,1,387025211.0,5000000.0,5.0,10.00,2000-09-22,2000-11-21,Y,4816000.0,4816000.0,96.32,26744114.0,5.55,0.76,股價低於買回區間價格下限
2374,佳能,89/09/18,1,424281197.0,10000000.0,17.0,25.00,2000-09-19,2000-11-18,Y,3954000.0,,39.54,60120466.0,15.20,2.11,考量市場價格因素
2015,豐興,89/09/19,3,957872726.0,4600000.0,8.0,13.00,2000-09-20,2000-10-19,Y,4600000.0,4600000.0,100.0,44916589.0,9.76,0.81,
2906,高林,89/09/19,3,698987000.0,10000000.0,5.0,11.00,2000-09-20,2000-10-19,Y,10000000.0,10000000.0,100.0,68249500.0,6.82,2.29,
3052,夆典,89/09/19,3,483864377.0,5300000.0,8.0,13.00,2000-09-20,2000-10-19,Y,5300000.0,5300000.0,100.0,52037971.0,9.82,2.66,
1210,大成,89/09/20,1,572714829.0,10000000.0,7.0,13.00,2000-09-21,2000-10-13,Y,10000000.0,10000000.0,100.0,102105968.0,10.21,2.41,
1459,聯發,89/09/20,3,848981479.0,12000000.0,4.0,8.00,2000-09-21,2000-10-20,Y,11859000.0,11859000.0,98.83,81453065.0,6.87,3.02,依規定買價不得高於當日漲幅之1/2，因891020屆期當日開盤未久即?
2611,志信,89/09/20,1,500464607.0,4200000.0,7.0,10.00,2000-09-22,2000-11-21,Y,4200000.0,4200000.0,100.0,34484500.0,8.21,2.39,
2702,華園,89/09/20,1,26184914.0,2000000.0,6.9,17.20,2000-09-22,2000-10-21,Y,98000.0,98000.0,4.9,965270.0,9.85,0.15,市場供應不足
2838,聯邦銀,89/09/20,1,2323449699.0,50000000.0,5.0,10.50,2000-09-21,2000-10-20,Y,0.0,,0.0,0.0,0.00,0.0,因經濟情勢未趨穩定，基於公司整體利益考量，且本公司股價未趨於
9904,寶成,89/09/20,1,9503195000.0,20000000.0,24.0,40.00,2000-09-21,2000-11-20,Y,20000000.0,20000000.0,100.0,582482313.0,29.12,1.63,
1319,東陽,89/09/21,3,692150477.0,7894000.0,12.0,19.00,2000-09-25,2000-10-24,Y,7894000.0,7894000.0,100.0,113736249.0,14.41,1.99,
1909,榮成,89/09/22,1,1272029000.0,6500000.0,3.71,7.92,2000-09-25,2000-10-24,Y,5973000.0,5973000.0,91.89,33263436.0,5.57,1.17,"期限屆滿前市價高於當日漲幅之一半,依規不能委託買進,故未能完全"
2509,全坤建,89/09/22,3,428547000.0,5000000.0,5.0,12.00,2000-09-25,2000-11-24,Y,2873000.0,2873000.0,57.46,22414955.0,7.80,1.42,"因限時掛單及賣單不足,致部份買單未能成交"
2359,所羅門,89/09/26,1,2232458000.0,20000000.0,26.0,35.00,2000-09-27,2000-11-26,Y,1109000.0,1109000.0,5.55,21321932.0,19.23,0.37,因國內政經局勢混沌未明，致謹慎執行，以維護股東權益。
2516,新建,89/09/26,3,262978971.0,5000000.0,2.0,4.40,2000-09-29,2000-10-28,Y,841000.0,841000.0,16.82,2326966.0,2.77,0.23,"由於國際股市表現不佳,國內股市多空未明,故延長買進時點."
2820,華票,89/09/27,3,2960723000.0,41300000.0,4.34,10.00,2000-09-29,2000-10-28,Y,41300000.0,41300000.0,100.0,284710000.0,6.89,2.5,
2006,東和鋼鐵,89/09/28,1,3622150104.0,13500000.0,8.0,15.00,2000-09-29,2000-10-28,Y,12736000.0,12736000.0,94.34,135764491.0,10.66,1.74,"為實施第二之買回股份,經董事會決議以10/24為買回股份執行完畢日"
6005,群益證,89/09/28,1,7710527000.0,5500000.0,12.0,19.00,2000-09-29,2000-10-28,Y,5500000.0,5500000.0,100.0,72316477.0,13.15,0.6,
1103,嘉泥,89/09/29,1,1505388000.0,4600000.0,5.0,10.00,2000-09-30,2000-10-29,Y,4600000.0,4600000.0,100.0,32178019.0,7.00,0.66,
2433,互盛電,89/09/29,1,1103551115.0,8000000.0,27.0,51.00,2000-09-30,2000-11-29,Y,5720000.0,5720000.0,71.5,192069556.0,33.58,3.78,依公司自擬分配辦法，已足夠轉讓符合要件同仁
2504,國產,89/10/02,3,981164576.0,80000000.0,3.8,9.00,2000-10-05,2000-11-04,Y,23057000.0,23057000.0,28.82,123757292.0,5.37,2.01,市場成交量不足
2535,達欣工,89/10/02,3,1008494000.0,4600000.0,3.96,10.00,2000-10-04,2000-11-03,Y,4600000.0,4600000.0,100.0,29791828.0,6.48,1.6,
1447,力鵬,89/10/03,1,1542678000.0,10000000.0,3.1,6.80,2000-10-04,2000-11-03,Y,6954000.0,6954000.0,69.54,31188395.0,4.48,1.22,買回期間受漲跌幅限制未執行完畢
1471,首利,89/10/03,1,277792000.0,3000000.0,4.0,7.70,2000-10-04,2000-11-03,Y,2945000.0,2945000.0,98.17,16356454.0,5.55,2.51,買回期間受漲跌幅限制未執行完畢
2367,燿華,89/10/03,1,2541627000.0,4000000.0,20.0,26.00,2000-10-04,2000-11-03,Y,500000.0,500000.0,12.5,9850000.0,19.70,0.15,股市低迷，賣壓沈重，市場行情低於買回價格太多，暫時觀望
1714,和桐,89/10/04,3,998948000.0,5000000.0,16.0,24.00,2000-10-05,2000-11-04,Y,3915000.0,3915000.0,78.3,53547353.0,13.68,1.03,執行初期市場價格低於買回價格區間下限本公司無法執行買回直至10
1524,耿鼎,89/10/05,1,249957086.0,5000000.0,7.0,13.00,2000-10-06,2000-11-05,Y,1772000.0,1772000.0,35.44,17397247.0,9.82,1.76,"買回期間因受漲跌幅限制尚剩餘3,228仟股,未執行完畢"
1605,華新,89/10/05,1,21143196000.0,80000000.0,13.0,18.00,2000-10-07,2000-12-06,Y,46909000.0,46909000.0,58.64,758844254.0,16.18,1.49,"執行期間因股價上下波動, 限時, 限價, 限量掛進買單, 致部份買單"
1711,永光,89/10/05,1,1027896434.0,3000000.0,7.7,15.40,2000-10-06,2000-11-05,Y,3000000.0,3000000.0,100.0,33299022.0,11.10,0.8,
2008,高興昌,89/10/06,1,199317276.0,4600000.0,4.13,10.00,2000-10-07,2000-11-06,Y,4289000.0,4289000.0,93.24,23094298.0,5.38,1.01,市場價格滑落為避免市場價格繼續下滑
2323,中環,89/10/06,1,22631614000.0,10000000.0,26.0,50.00,2000-10-09,2000-12-08,Y,10000000.0,10000000.0,100.0,356499429.0,35.65,0.58,
2338,光罩,89/10/09,1,868329000.0,3000000.0,15.0,28.00,2000-10-11,2000-10-18,Y,3000000.0,3000000.0,100.0,58119000.0,19.37,1.02,
1444,力麗,89/10/11,1,1186035000.0,10000000.0,3.0,5.90,2000-10-12,2000-12-11,Y,9990000.0,9990000.0,99.9,33988624.0,3.40,1.37,部份營業日逾漲幅限制之一半
2014,中鴻,89/10/11,1,1376704282.0,20000000.0,2.55,5.15,2000-10-12,2000-11-10,Y,19791000.0,19791000.0,98.96,56439252.0,2.85,1.73,市場成交量不足，已掛單未成交。
2405,浩鑫,89/10/11,1,527382000.0,9325000.0,12.0,20.00,2000-10-12,2000-12-11,Y,6733000.0,6733000.0,72.2,96507629.0,14.33,4.92,股市行情不佳
2417,圓剛,89/10/11,1,552161000.0,2000000.0,20.0,29.00,2000-10-12,2000-12-11,Y,2000000.0,2000000.0,100.0,39143700.0,19.57,2.33,
2605,新興,89/10/11,3,993683043.0,17422000.0,4.27,8.35,2000-10-12,2000-11-11,Y,17422000.0,17422000.0,100.0,118888680.0,6.82,5.0,
2514,龍邦,89/10/12,1,1626010000.0,30000000.0,4.5,10.00,2000-10-13,2000-12-12,Y,24306000.0,24306000.0,81.02,116973654.0,4.81,4.19,因受政經環境影響，量能不足，致未能購足原訂數量。
2365,昆盈,89/10/13,1,1638738470.0,10000000.0,20.0,40.00,2000-10-16,2000-12-15,Y,4302000.0,4302000.0,43.02,124316003.0,28.90,2.91,因大環境不佳，為不影響公司、股東、及員工三者權益，並未全數購
2905,三商,89/10/13,3,1492310000.0,6000000.0,11.55,20.00,2000-10-16,2000-11-15,Y,4577000.0,4577000.0,76.28,71275075.0,15.57,0.96,"受漲跌幅限制,電腦撮合等因素,未執行完畢"
1457,宜進,89/10/16,3,442907872.0,10000000.0,4.0,8.00,2000-10-17,2000-12-16,Y,10000000.0,10000000.0,100.0,37729555.0,3.77,2.62,
1712,興農,89/10/16,3,569319627.0,11625000.0,3.78,6.65,2000-10-17,2000-12-16,Y,2152000.0,2152000.0,18.51,8954720.0,4.16,0.62,市場成交量偏低且為避免影響市場行情，致無法全依申報數全數買回
2614,東森,89/10/16,3,477250370.0,50000000.0,4.97,9.65,2000-10-17,2000-12-16,Y,2509000.0,2509000.0,5.02,16708982.0,6.66,0.31,"買回期間部份營業日受漲幅過半限制,未執行完畢."
2834,臺企銀,89/10/16,1,22739996536.0,100000000.0,10.0,16.80,2000-10-17,2000-12-16,Y,45185000.0,45185000.0,45.19,510139739.0,11.29,1.53,大環境不佳，但本行股價於預定買回期間較其他金融類股已相對穩定
5388,中磊,89/10/16,1,49398000.0,1500000.0,10.0,20.00,2000-10-18,2000-12-17,Y,1500000.0,1500000.0,100.0,16912456.0,11.27,2.69,
1722,台肥,89/10/17,1,4128997978.0,9000000.0,11.0,22.00,2000-10-18,2000-12-16,Y,9000000.0,9000000.0,100.0,151716612.0,16.86,0.92,
2534,宏盛,89/10/17,3,4804056172.0,50000000.0,8.0,14.50,2000-10-19,2000-12-18,Y,7856000.0,7856000.0,15.71,70885347.0,9.02,1.28,"因買回價格之限制及市場成交量偏低影響,故無法依申報數全部買回"
2015,豐興,89/10/18,3,957872726.0,13000000.0,8.0,13.00,2000-10-19,2000-12-18,Y,13000000.0,13000000.0,100.0,119748198.0,9.21,2.29,
2545,皇翔,89/10/18,3,419149371.0,6000000.0,3.5,8.50,2000-10-19,2000-12-18,Y,5989000.0,5989000.0,99.82,29082903.0,4.86,4.47,掛單委買時間太晚，以致於無法及時成交。
2371,大同,89/10/19,1,8098426000.0,120000000.0,8.82,21.57,2000-10-23,2000-12-22,Y,11708000.0,11708000.0,9.76,160868097.0,13.74,0.29,"執行期間市價平穩,未達大量買回之價格"
2906,高林,89/10/19,1,698987000.0,10000000.0,5.0,11.00,2000-10-20,2000-12-19,Y,10000000.0,10000000.0,100.0,56972890.0,5.70,2.29,
3052,夆典,89/10/19,3,483864377.0,5000000.0,8.0,13.00,2000-10-20,2000-12-19,Y,5000000.0,5000000.0,100.0,49273955.0,9.85,2.51,
1472,三洋紡,89/10/20,1,584004000.0,3000000.0,7.0,15.00,2000-10-21,2000-12-20,Y,1428000.0,1428000.0,47.6,12335925.0,8.64,2.07,執行期間因股價上下波動，限時，限價掛進買單，採低價為原則致部
2702,華園,89/10/20,1,26184914.0,1800000.0,6.9,13.50,2000-10-22,2000-12-21,Y,314000.0,314000.0,17.44,2759424.0,8.79,0.49,市場供應不足
2373,震旦行,89/10/23,1,3382060000.0,30000000.0,18.0,37.00,2000-10-24,2000-12-23,Y,30000000.0,30000000.0,100.0,704100169.0,23.47,4.79,
2390,云辰,89/10/23,1,1522408865.0,5000000.0,50.0,80.00,2000-10-24,2000-12-23,Y,5000000.0,5000000.0,100.0,315470895.0,63.09,2.31,
2849,安泰銀,89/10/23,1,2085830000.0,50000000.0,5.5,8.00,2000-10-25,2000-12-24,Y,11644000.0,11644000.0,23.29,58822491.0,5.05,0.86,市場低迷，成交量少，致未能執行完畢
1319,東陽,89/10/24,1,692150477.0,8000000.0,12.0,17.00,2000-10-27,2000-12-26,Y,6996000.0,6996000.0,87.45,97245151.0,13.90,1.77,考量市場參與度及價格穩定因素
1323,永裕,89/10/24,3,119650000.0,2000000.0,4.34,9.69,2000-10-25,2000-12-22,Y,1982000.0,1982000.0,99.1,13756625.0,6.94,2.78,股市成交量不足
2006,東和鋼鐵,89/10/24,3,3622150104.0,35000000.0,8.0,13.00,2000-10-25,2000-12-24,Y,25997000.0,25997000.0,74.28,272350399.0,10.48,3.55,集中市場變動預期為佳
2201,裕隆,89/10/25,1,10916566000.0,17000000.0,14.7,26.90,2000-10-27,2000-12-26,Y,17000000.0,17000000.0,100.0,365361900.0,21.49,1.09,
2501,國建,89/10/25,3,3548745329.0,100000000.0,5.55,10.00,2000-10-27,2000-12-25,Y,55334000.0,55334000.0,55.33,433018609.0,7.83,3.3,股市低迷，市場成交量較小；另政治、經濟情況未趨穩定；執行期間
1460,宏遠,89/10/26,3,1029860123.0,54482000.0,3.14,6.25,2000-10-27,2000-12-26,Y,40739000.0,40739000.0,74.78,255113601.0,6.26,7.48,因大環境不佳，每日成交量小，故未執行完畢
2360,致茂,89/10/26,3,1471511000.0,7000000.0,27.0,65.00,2000-10-27,2000-12-11,Y,7000000.0,7000000.0,100.0,266994000.0,38.14,3.48,
1459,聯發,89/10/27,3,848981479.0,27405000.0,6.0,10.00,2000-10-30,2000-12-29,Y,27405000.0,27405000.0,100.0,196702369.0,7.18,6.98,
1905,華紙,89/10/27,1,509823088.0,7600000.0,10.0,18.50,2000-10-30,2000-12-29,Y,4800000.0,4800000.0,63.16,55856216.0,11.64,0.91,因股價上下波動、限時、限價掛進買單致未按預計數量全數買回
2421,建準,89/10/27,1,287488779.0,4000000.0,11.97,26.40,2000-10-30,2000-12-29,Y,2385000.0,2385000.0,59.63,37728500.0,15.82,1.97,執行期間股價上下波動、限時、限價等因素及政治、經濟情況不穩
2467,志聖,89/10/27,1,453381000.0,2000000.0,28.0,44.00,2000-10-30,2000-12-29,Y,146000.0,146000.0,7.3,4248042.0,29.10,0.31,執行期間因股價上下波動，成交價格低於本公司買回區間價格及市場
2535,達欣工,89/10/27,3,1025334000.0,10000000.0,4.69,10.00,2000-10-31,2000-12-30,Y,8371000.0,8371000.0,83.71,47921391.0,5.72,2.91,因政治經濟情況未趨穩定；執行期間因股價上下波動、限時、限價等
2608,嘉里大榮,89/10/27,1,831293001.0,30000000.0,6.3,13.19,2000-10-30,2000-12-29,Y,25000000.0,25000000.0,83.33,221277127.0,8.85,4.81,執行期間因市場低迷，價格未如預期，致未按預計數量全數買回。
3024,憶聲,89/10/27,1,485561000.0,7000000.0,10.0,22.00,2000-10-31,2000-12-30,Y,7000000.0,7000000.0,100.0,85467973.0,12.21,5.17,
1904,正隆,89/10/30,1,3117168048.0,30000000.0,5.4,10.70,2000-11-01,2000-12-31,Y,16074000.0,16074000.0,53.58,111970621.0,6.97,1.69,"因大環境不佳,為不影響公司,股東,及員工三者權益,乃未按預計數量"
4414,如興,89/10/30,1,225777000.0,3000000.0,13.0,25.00,2000-11-01,2000-12-31,Y,711000.0,711000.0,23.7,14246641.0,20.04,1.68,買回期間本公司股票尚無賣壓
1612,宏泰,89/10/31,1,1066627000.0,10000000.0,7.35,15.90,2000-11-02,2001-01-02,Y,3887000.0,1611013.0,38.87,37171044.0,9.56,1.23,"經濟基本面不佳與政經因素不穩定,造成股市低迷、市場成交量小,及"
2527,宏璟,89/10/31,1,777318622.0,10000000.0,3.5,10.00,2000-11-01,2000-12-31,Y,4685000.0,4685000.0,46.85,23524672.0,5.02,0.98,"股市低迷,交易量委縮"
1609,大亞,89/11/01,3,871442958.0,15000000.0,3.48,7.45,2000-11-02,2000-12-30,Y,14649000.0,14649000.0,97.66,76857068.0,5.25,2.63,"最後買進日12/30委託買進992,000股因成交量不足僅買進641,000股"
1909,榮成,89/11/02,1,1363593000.0,5000000.0,3.68,7.46,2000-11-03,2001-01-02,Y,5000000.0,5000000.0,100.0,25185600.0,5.04,0.98,
2024,志聯,89/11/02,3,22675000.0,7000000.0,1.21,2.87,2000-11-02,2001-01-02,Y,3740000.0,3740000.0,53.43,6430107.0,1.72,2.41,大盤不佳持續重挫
2465,麗臺,89/11/02,1,596176771.0,1000000.0,12.5,28.30,2000-11-03,2000-12-02,Y,295000.0,295000.0,29.5,5281394.0,17.90,0.42,對股市暫持觀望態度
1447,力鵬,89/11/03,1,1108539266.0,10000000.0,3.2,10.00,2000-11-04,2000-12-03,Y,3151000.0,3151000.0,31.51,11385532.0,3.61,0.55,買回期間部分營業日受漲幅過半限制未執行完畢
1514,亞力,89/11/03,1,528751837.0,3000000.0,9.0,15.20,2000-11-06,2000-11-25,Y,2973000.0,2973000.0,99.1,28511878.0,9.59,1.51,期限內最後一日之盤中價格已超過當日漲幅之一半
1514,亞力,89/11/03,3,528751837.0,12000000.0,9.0,15.20,2000-11-27,2001-01-02,Y,8505000.0,8505000.0,70.88,88261883.0,10.38,4.31,上市上櫃公司買回本公司股份辦法第七條
2034,允強,89/11/03,3,463624359.0,10000000.0,9.0,18.00,2000-11-04,2001-01-03,Y,10000000.0,10000000.0,100.0,138649571.0,13.86,9.46,
2338,光罩,89/11/03,1,956821000.0,3000000.0,12.0,25.00,2000-11-06,2001-01-05,Y,3000000.0,3000000.0,100.0,42152350.0,14.05,1.02,
2363,矽統,89/11/03,1,9512100249.0,30000000.0,27.7,70.50,2000-11-04,2001-01-03,Y,10689000.0,10689000.0,35.63,389977600.0,36.48,1.1,"因執行期間股價波動相對較小,致未按預定數量全數買回"
2516,新建,89/11/03,3,333428133.0,5000000.0,1.78,4.00,2000-11-06,2001-01-05,Y,4914000.0,4914000.0,98.28,10904512.0,2.22,1.36,股價已有明顯回升
6005,群益證,89/11/03,1,7688189000.0,7000000.0,10.0,15.00,2000-11-04,2000-12-28,Y,6525000.0,6525000.0,93.21,69057407.0,10.58,0.71,部份交易日盤中成交量不足
2329,華泰,89/11/04,1,4430670000.0,15000000.0,9.17,23.10,2000-11-06,2001-01-05,Y,10745000.0,10745000.0,71.63,96931100.0,9.02,1.08,因國內股市低迷，考量市場價格因素，致謹慎執行，以維護股東權益
9929,秋雨,89/11/06,3,248013975.0,3000000.0,10.0,16.00,2000-11-08,2001-01-07,Y,3000000.0,3000000.0,100.0,40454873.0,13.48,2.92,
1313,聯成,89/11/07,1,1181859000.0,6000000.0,5.0,10.00,2000-11-08,2001-01-07,Y,5205000.0,5205000.0,86.75,27692038.0,5.32,0.76,"執行期間因股價上下波動,限時.限價.限量交易等因素,致部份買單未"
1616,億泰,89/11/07,3,813419000.0,10000000.0,5.0,11.00,2000-11-09,2001-01-08,Y,10000000.0,10000000.0,100.0,79491635.0,7.95,9.84,
2364,倫飛,89/11/07,1,582887605.0,20000000.0,3.6,10.00,2000-11-08,2001-01-07,Y,14008000.0,14008000.0,70.04,75277576.0,5.37,2.65,因受限時.限價等因素影響
2823,中壽,89/11/07,1,2046864637.0,30000000.0,7.0,16.00,2000-11-07,2001-01-06,Y,9652000.0,9652000.0,32.17,72918553.0,7.55,1.53,執行期間因股價上下波動、限時、限價掛進買單致未按預計數量全數
2414,精技,89/11/08,1,759696000.0,3000000.0,30.0,50.00,2000-11-09,2001-01-08,Y,3000000.0,3000000.0,100.0,88001200.0,29.33,3.57,
2461,光群雷,89/11/08,1,888811000.0,2700000.0,35.0,55.00,2000-11-10,2001-01-09,Y,2700000.0,2700000.0,100.0,104113090.0,38.56,3.19,
2506,太設,89/11/08,1,62891000.0,50000000.0,3.0,10.00,2000-11-09,2001-01-08,Y,699000.0,699000.0,1.4,2621970.0,3.75,0.12,股市低迷，市場成量較小；另政治經濟情況未趨穩定；執行期間股價
1529,樂士,89/11/09,1,182681000.0,2000000.0,8.0,13.00,2000-11-13,2001-01-12,Y,293000.0,293000.0,14.65,2437010.0,8.32,0.44,執行期間因本公司股票尚無賣壓
1714,和桐,89/11/10,3,1016845000.0,7500000.0,16.0,21.00,2000-11-13,2001-01-12,Y,7500000.0,7500000.0,100.0,98502956.0,13.13,1.61,
2367,燿華,89/11/10,1,2555691000.0,6000000.0,14.0,24.00,2000-11-13,2001-01-12,Y,5586000.0,5586000.0,93.1,62502050.0,11.19,1.62,"國內外股市表現欠佳,價格不理想"
2546,根基,89/11/13,3,108048000.0,3000000.0,5.0,10.00,2000-11-14,2001-01-13,Y,593000.0,593000.0,19.77,3056476.0,5.15,0.88,受限市場流動性不佳或成交股數不足
2611,志信,89/11/13,3,475681612.0,7000000.0,6.0,10.00,2000-11-14,2001-01-13,Y,7000000.0,7000000.0,100.0,56316100.0,8.05,4.07,
1524,耿鼎,89/11/14,1,217747591.0,3228000.0,7.0,14.00,2000-11-15,2001-01-14,Y,1800000.0,1800000.0,55.76,15979028.0,8.88,1.79,"成交量小,受漲跌幅限制,公司考量價格穩定因素"
2023,燁輝,89/11/14,3,2263977019.0,10000000.0,5.0,8.00,2000-11-15,2001-01-14,Y,10000000.0,10000000.0,100.0,49458812.0,4.95,1.19,
1436,華友聯,89/11/15,3,429628000.0,9440000.0,2.0,6.00,2000-11-16,2001-01-15,Y,9440000.0,9440000.0,100.0,39128449.0,4.14,2.96,
1532,勤美,89/11/15,1,667834390.0,8000000.0,14.0,22.00,2000-11-16,2001-01-15,Y,3358000.0,3358000.0,41.98,53291583.0,15.87,3.18,成交量小，致未能執行完畢
2344,華邦電,89/11/15,1,40682756000.0,10000000.0,24.0,33.00,2000-11-17,2001-01-16,Y,2100000.0,2100000.0,21.0,65541045.0,31.21,0.06,執行期間因股價上下波動、限時、限價、限量掛進買單，致部份買單
2504,國產,89/11/15,3,817021267.0,60000000.0,3.0,8.00,2000-11-16,2001-01-15,Y,12284000.0,12284000.0,20.47,53655221.0,4.37,1.07,"買回期間營運資金緊俏,庫藏股之買入作業受到影響"
9908,大台北,89/11/15,1,617424824.0,14000000.0,10.0,17.00,2000-11-18,2001-01-17,Y,2442000.0,2442000.0,17.44,26603121.0,10.89,0.46,邇來股市變化較大，為顧及員工未來認股意願及兼顧本公司全體股東
2530,華建,89/11/16,3,2650034157.0,20000000.0,2.5,5.43,2000-11-17,2001-01-16,Y,13385000.0,13385000.0,66.93,31147962.0,2.33,3.09,市場成交量偏低，又受限時、限價等因素影響
1503,士電,89/11/17,1,3705216863.0,25000000.0,17.0,23.00,2000-11-18,2001-01-17,Y,443000.0,443000.0,1.77,7698552.0,17.38,0.09,避免轉讓給員工的價格過高，而影響員工權益。
2425,承啟,89/11/17,1,588320546.0,2000000.0,9.2,24.60,2000-11-21,2001-01-20,Y,2000000.0,2000000.0,100.0,21526677.0,10.76,2.1,
2520,冠德,89/11/17,3,3081888000.0,20000000.0,7.0,12.00,2000-11-20,2001-01-19,Y,9637000.0,9637000.0,48.19,62348595.0,6.47,1.87,受限於股市低迷、限時及限價等因素影響
2905,三商,89/11/17,3,1557712000.0,9000000.0,10.6,20.00,2000-11-18,2001-01-17,Y,6999000.0,6999000.0,77.77,110339487.0,15.77,1.47,執行期間受漲跌幅、電腦撮合等因素，未執行完畢，擬日後俟機買進
1711,永光,89/11/20,1,1004516000.0,5000000.0,6.5,14.90,2000-11-21,2001-01-20,Y,5000000.0,5000000.0,100.0,44307049.0,8.86,1.34,
2540,愛山林,89/11/20,3,1405461123.0,38500000.0,1.0,10.00,2000-11-22,2001-01-21,Y,5000000.0,5000000.0,12.99,7484580.0,1.50,1.3,執行期間因市場流動性不佳，又受委託買回價格限制。
